DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,,,,
6/26/2014,"2,522,326","2,522,326","2,522,326","2,522,326",1,1,,,,
6/27/2014,"2,508,201","2,508,201","2,508,201","2,508,201",1,1,,,,
6/30/2014,"2,498,142","2,498,142","2,498,142","2,498,142",1,1,,,,
7/1/2014,"2,497,972","2,497,972","2,497,972","2,497,972",1,1,,,,
7/2/2014,"2,497,652","2,497,652","2,497,652","2,497,652",1,1,,,,
7/3/2014,"2,493,307","2,493,307","2,493,307","2,493,307",1,1,,,,
7/7/2014,"2,486,211","2,486,211","2,486,211","2,486,211",1,1,,,,
7/8/2014,"2,485,411","2,485,411","2,485,411","2,485,411",1,1,,,,
7/9/2014,"2,488,597","2,488,597","2,488,597","2,488,597",1,1,,,,
7/10/2014,"2,488,322","2,488,322","2,488,322","2,488,322",1,1,,,,
7/11/2014,"2,487,318","2,487,318","2,487,318","2,487,318",1,1,,,,
7/14/2014,"2,486,943","2,486,943","2,486,943","2,486,943",1,1,,,,
7/15/2014,"2,485,698","2,485,698","2,485,698","2,485,698",1,1,,,,
7/16/2014,"2,483,990","2,483,990","2,483,990","2,483,990",1,1,,,,
7/17/2014,"2,476,389","2,476,389","2,476,389","2,476,389",1,1,,,,
7/18/2014,"2,474,879","2,474,879","2,474,879","2,474,879",1,1,,,,
7/21/2014,"2,474,599","2,474,599","2,474,599","2,474,599",1,1,,,,
7/22/2014,"2,474,074","2,474,074","2,474,074","2,474,074",1,1,,,,
7/23/2014,"2,473,324","2,473,324","2,473,324","2,473,324",1,1,,,,
7/24/2014,"2,476,714","2,476,714","2,476,714","2,476,714",1,1,,,,
7/25/2014,"2,476,175","2,476,175","2,476,175","2,476,175",1,1,,,,
7/28/2014,"2,476,817","2,476,817","2,476,817","2,476,817",1,1,,,,
7/29/2014,"2,461,852","2,461,852","2,461,852","2,461,852",1,1,,,,
7/30/2014,"2,459,940","2,459,940","2,459,940","2,459,940",1,1,,,,
7/31/2014,"2,456,708","2,456,708","2,456,708","2,456,708",1,1,,,,
